student_id,cgpa,iq,placement
1,6.8,139,1
2,9.56,116,1
3,8.51,120,1
4,7.87,134,1
5,5.75,121,1
6,5.75,132,1
7,5.28,98,0
8,9.16,111,1
9,7.89,143,1
10,8.4,103,1
11,5.1,115,0
12,9.66,130,1
13,9.0,93,1
14,6.02,122,1
15,5.87,101,0
16,5.88,103,0
17,6.46,128,1
18,7.52,88,0
19,7.07,132,1
20,6.4,141,1
21,7.94,95,1
22,5.67,106,0
23,6.4,88,0
24,6.76,101,0
25,7.19,92,0
26,8.77,130,1
27,5.96,143,1
28,7.47,118,1
29,7.84,95,1
30,5.22,115,0
31,7.92,95,1
32,5.82,140,1
33,5.31,138,1
34,9.55,140,1
35,9.64,122,1
36,8.88,137,1
37,6.46,105,0
38,5.47,130,1
39,8.28,114,1
40,7.11,94,0
41,5.59,110,0
42,7.38,111,1
43,5.17,92,0
44,9.36,123,1
45,6.24,92,0
46,8.18,144,1
47,6.5,92,0
48,7.5,139,1
49,7.62,118,1
50,5.89,143,1
51,9.65,100,1
52,8.72,125,1
53,9.51,97,1
54,9.3,107,1
55,7.87,96,1
56,9.42,111,1
57,5.42,106,0
58,5.94,116,1
59,5.22,141,1
60,6.56,133,1
61,6.87,111,1
62,6.3,86,0
63,8.98,129,1
64,6.71,117,1
65,6.35,110,1
66,7.6,112,1
67,5.68,103,0
68,8.85,127,1
69,5.36,89,0
70,9.74,117,1
71,8.71,104,1
72,5.95,114,1
73,5.03,129,1
74,8.91,92,1
75,8.39,122,1
76,8.5,101,1
77,8.7,128,1
78,5.36,85,0
79,6.72,87,0
80,5.56,130,1
81,9.14,110,1
82,7.99,115,1
83,6.59,92,0
84,5.31,127,1
85,6.49,143,1
86,6.56,130,1
87,8.5,92,1
88,8.06,119,1
89,9.26,123,1
90,7.27,112,1
91,5.57,135,1
92,8.42,88,1
93,8.65,141,1
94,7.69,100,1
95,8.7,97,1
96,7.37,104,1
97,7.51,135,1
98,7.05,89,0
99,5.12,139,1
100,5.52,121,1
101,5.15,104,0
102,8.05,108,1
103,6.51,120,1
104,7.44,118,1
105,9.36,142,1
106,6.2,129,1
107,6.97,132,1
108,8.63,138,1
